;Título;info;Contenido;Etiqueta
137;La Liga tendrá un arranque furioso: los grandes animarán el inicio;En las primeras fechas se verán juegos como Millos vs. Nacional, Santa Fe vs. América entre otros.;"No es habitual que en las primeras jornadas de la Liga se disputen los partidos más esperados, con enfrentamientos entre los equipos más tradicionales del fútbol colombiano. Pero esta vez el sorteo, que se llevó a cabo este miércoles en Bogotá, determinó un arranque así, en un campeonato que eliminó la jornada de clásicos, que tendrá 19 fechas, después sistema de llaves (cuartos, semifinal y final), y que terminará el 3 de junio, antes del comienzo del Mundial. Nacional vs. Santa Fe, en la fecha 2; Santa Fe vs. América, en la 3, o Millonarios vs. Nacional, en la 4, son algunos de los partidazos que se jugarán en el arranque de la Liga, y que involucran a los equipos que tienen participación en Libertadores o Suramericana. Si bien enfrentarán a los rivales más fuertes de entrada (a excepción de los clásicos Santa Fe -Millos, de la última fecha, y Nacional-DIM, de la 13), se podrían beneficiar más adelante cuando se les crucen partidos de Liga menos exigentes con los de la copa internacional. Entre otras cosas, sigue en discusión la posibilidad de aumentar de 25 a 30 los inscritos, pero ya será un tema por considerar en la asamblea del 14 de febrero. Millonarios, que jugará Libertadores a partir del 28 de febrero, tendrá su mayor nivel de exigencia en la Liga entre las fechas 3 y 6, cuando deberá enfrentar al Medellín (de local), Nacional (visitante), Cali (local) y América (visitante). De una vez saldrá de varios de sus rivales más importantes. Después ya tendrá un calendario más generoso, justo en la etapa más difícil de su competición internacional. El equipo embajador es uno de los que tendrá nueve partidos de local, mientras que otros, como Santa Fe, tendrán 10, por la eliminación de la fecha de clásicos. Por su parte, el cuadro cardenal no solo arrancará contra Patriotas, con el morbo del rápido regreso de Omar Pérez (ahora en el equipo de Tunja) a El Campín, sino que tendrá un inicio agitado, de visita al Nacional (fecha 2) y recibiendo al América (fecha 3). Si logra meterse a fase de grupos de la Libertadores, le servirá salir de estos juegos de entrada. Mientras tanto, Nacional, que también juega Copa en fase de grupos, tendrá en las primeras cinco jornadas varios de sus duelos más esperados: Santa Fe, Millos y América. El mismo caso del cuadro escarlata –que juega Suramericana–, que entre las fechas 3 y 6 se verá con Santa Fe, Nacional y Millos. Sus rivales de plazas, Medellín y Cali, tienen un arranque menos pesado, aunque con desafíos como DIM vs. Millos (fecha 3) o Cali vs. Millos (fecha 4). De los equipos tradicionales, el que tiene un arranque más benévolo es el Junior, que en las primeras fechas enfrentará a Bucaramanga, Pasto, Envigado, Huila y Chicó... Su primer gran partido será hasta la fecha 6, contra el Medellín. Pero el comienzo también será exigente para algunos de los ‘chicos’ como Patriotas y Chicó (el recién ascendido), a los que el calendario de entrada no les favorece. Chicó arranca con Millos, en Bogotá, recibe al Medellín, visita al Cali, y en la fecha cinco, a Junior. Patriotas, que empieza con Santa Fe, visita luego a Millos, recibe a Nacional y visita al América. Todo en las primeras cuatro fechas. También será complicado para Tolima, que debuta contra Nacional y luego visita al América. En todo caso será un calendario apretado y exigente. Lo positivo para los que juegan internacionalmente es que no tendrán por ahora Copa Colombia, ya que arrancarán en octavos, el otro semestre. PABLO ROMERO Redactor de EL TIEMPO En Twitter: @PabloRomeroET ";deportes
138;Siga la transmisión del análisis del sorteo de Mundial de Rusia;Gabriel Meluk, editor de deportes, analizará en vivo la conformación de los grupos.;Este viernes se llevará a cabo desde el Palacio del Kremlin, en Moscú, el sorteo del Mundial de Rusia 2018, donde se conocerán los rivales que enfrentará la Selección Colombia. La ceremonia se inicia a las 10 de la mañana y podrá conocer cada detalle de lo que suceda en EL TIEMPO, a través del análisis de Gabriel Meluk, editor de deportes de esta casa editorial. Durante la transmisión en vivo, que podrá seguirla en ELTIEMPO.COM y en el Facebook de EL TIEMPO , Meluk explicará cómo queda el camino de Colombia en el Mundial. Jenny Gámez, editora de Futbolred.com , participará en este programa de análisis deportivo. Este portal deportivo también contará con esta trasmisión. La Selección Colombia está en el bombo 2, que comparte con España, Uruguay, Perú, México, Inglaterra, Croacia y Suiza, equipos con los que no se enfrentará en la fase inicial, además de Brasil y Argentina. Hora: 10: 00 a. m. Dónde: A través de ELTIEMPO.COM , facebook de EL TIEMPO y Futbolred.com ELTIEMPO.COM ;deportes
139;'Queremos ganar la Superliga por el profesor Russo': Andrés Cadavid;El capitán de Millonarios quiere darle una alegría a su técnico, en medio de su quebranto de salud.;Millonarios jugará este miércoles la primera final de la Superliga-2018, frente a Nacional, pensando en su entrenador Miguel Ángel Russo, quien no estará en el banquillo técnico debido a una hospitalización de último momento en Bogotá. Los futbolistas albiazules darán todo en la cancha por darle una satisfacción a la afición embajadora. Pero especialmente quieren exaltar al entrenador argentino, quien verá el partido desde el televisor de su habitación en la clínica Santa Fe. “Desde que llegó el ‘profe’, ha sido una gran alegría para nosotros. Él es un pilar para el momento que vive el equipo, para nosotros es muy importante darle alegrías, porque así vamos a solucionar los problemas que tenga. Nos hemos preparado bien, estamos listos y esperamos dar un golpe anímico y ganar esta copa por él ”, aseguró este marte Andrés Cadavid, defensor albiazul. El capitán de Millonarios aseguró que no ve como revancha este duelo por Superliga. “Nos enfocamos en el juego de nosotros, queremos marcar una historia. Más que revancha es seguir llevando un proceso ganador en Millonarios. Queremos seguir dándole títulos, tenemos compromiso con la institución y queremos seguir con las alegrías”, añadió. El central lamentó que esta vez no estén las dos hinchadas en el estadio bogotano, pero aseguró que no depende de él y que “cuando estoy en un terreno de juego, no estoy pendiente de los hinchas. Si no, más me estresaría. No depende de nosotros que haya hinchada visitante, lo único que queremos es fútbol en paz y donde las familias disfruten el espectáculo”. “ Con Nacional será una final abierta, pues tienen un juego más elaborado, con ataque desde atrás y por las bandas . Somos conscientes de los que nos jugamos y vamos por una victoria”, finalizó el capitán embajador. Redacción Futbolred ;deportes
140;El abecé del VAR, que tendrá su pitazo inicial en Colombia;Será usado en el juego de ida de la final Junior vs. América, y en el de vuelta.;"Finalmente, el VAR es una realidad en Colombia. Este domingo, luego de meses de capacitaciones y de adecuaciones técnicas, el sistema tendrá su debut oficial en el partido de ida de la final de la Liga entre Junior y América, en Barranquilla, en un momento coyuntural en el que las fallas arbitrales han sido protagonistas en los cuadrangulares semifinales y han generado múltiples protestas de varios clubes. El VAR (videoarbitraje) llega al fútbol colombiano de manera gradual, primero en los dos partidos finales, en el 2020 estaría en dos partidos por cada fecha y en el 2021, en la totalidad de la Liga. El proceso para su instauración en Colombia constó de dos etapas: la preparación técnica operativa y la preparación arbitral. Operativamente, se trata de un sistema descentralizado, es decir, con cabinas móviles que irán a cada uno de los estadios, a diferencia del VAR del Mundial de Rusia, que fue centralizado. El VAR colombiano, cuyo proveedor es la empresa Mediapro, de España, recoge la señal de la producción de los partidos de Win Sports, para la cual normalmente se usan 8 cámaras por juego, aunque se estima que para la final habrá entre 13 y 17. Con esas cámaras trabajará el VAR. En cada cabina estarán el árbitro VAR, el asistente VAR, el operador de cámaras, un observador y, posiblemente, un quality manager encargado de coordinar la comunicación con la producción para la eventual repetición de las jugadas analizadas en la señal de TV. Para que el VAR fuera certificado en Colombia tuvo que pasar por pruebas tecnológicas y arbitrales. Lo tecnológico quedó certificado por la Fifa y la Ifab (International Board) en el reciente partido entre Santa Fe y Cali, en el que además quedó certificado El Campín. El sábado se iba a hacer una prueba en el Metropolitano para obtener el mismo aval de la Fifa. En la parte arbitral, en Colombia se capacitaron 24 árbitros, que tuvieron pruebas teóricas y prácticas, en un campeonato de 50 partidos de la Liga de Bogotá. En la capacitación estuvieron presentes dos expertos arbitrales, el chileno Enrique Osses, y luego, el uruguayo Jorge Larrionda. Estos 24 árbitros se suman a los de carrera internacional, como Wílmar Roldán, Andrés Rojas y Nicolás Gallo, entre otros. Simón Ferro, director administrativo del VAR en Colombia, asegura que todo está listo para que el VAR comience a operar y que solo faltaba la prueba del sábado en el Metropolitano, y la que se hará en el Pascual Guerrero. “El objetivo es claro, esto va a subir el estándar de nuestro arbitraje. Queremos que haya justicia, transparencia y equidad en el arbitraje”, dice Ferro. Ya en el trabajo de campo, el VAR operará basado en el protocolo de la Fifa, tal como sucedió en el pasado mundial o en las grandes competiciones, con cuatro líneas de intervención: gol o no gol, penalti o no penalti, tarjeta roja y error de identidad. El árbitro VAR le reporta al juez central que hay una jugada dentro de estos cuatro campos que merece ser revisada, en la cabina se aprovechan las cámaras para esclarecer las dudas, el central revisa el video, atiende comentarios y opiniones, pero finalmente es él quien toma la decisión. Hay mucha expectativa por el desempeño que tendrá el VAR y si cumple el objetivo de justicia, sobre todo en un momento de preocupación por los fallos arbitrales. Wilson Lamouroux, coordinador técnico del Proyecto VAR, opina que su implementación era necesaria: “El VAR no es solo para Colombia, todo el mundo lo quiere, esa es su importancia en el fútbol. Seguramente se acabarán los escándalos, porque habrá errores, pero se pueden corregir”. También hay voces críticas, como la de José Borda, exárbitro y analista de Caracol Radio. ""Todo el mundo tiene que acoplarse a ese sistema. No crea que va a funcionar como el de la Conmebol o el de Fifa, acá solo hay tres árbitros que tienen capacitación de Fifa, Wílmar Roldán, Andrés Rojas y Nicolás Gallo. Una cosa son las prácticas que se hicieron con equipos aficionados y otra es lanzarse a un partido profesional en el que se juegan muchos intereses”. Por su parte, Rafael Sanabria, analista arbitral de Fox Sports, opina: “Los muchachos que van a poner en el VAR tienen experiencia internacional y eso ayuda, pero los jugadores no han tenido experiencia con VAR, van a entrar jugadores, técnicos y la gente a pedir cualquier cosa y de una vez van a ir detrás del árbitro, los asistentes y el cuarto árbitro a pedir revisión”, dice. Pablo Romero Redactor de EL TIEMPO @PabloRomeroET ";deportes
141;Nacional arranca pretemporada sin refuerzos y con líos jurídicos;El equipo salió de 10 futbolistas y no pueda fichar por la demanda perdida con Cortuluá.;Atlético Nacional arrancará la pretemporada este viernes en su sede deportiva en Guarne, con la idea de mejorar su campaña del 2018 donde solo obtuvo la Copa Colombia, perdió dos finales y no clasificó a los cuartos de final de la última Liga. Su preparación seguirá n Bogotá, con la disputa del torneo Fox Sports, contra Millonarios, Santa Fe y América de Cali, entre el 11 e el 20 de enero. El DT Paulo Autuori, que llegó a principios de noviembre, encabezará los trabajos para lo que se viene que es el torneo local y la Copa Libertadores. Nacional está en la fase 2 y se medirá al ganador de Bolívar o Defensor Sporting. Sin embargo, los focos están en los temas jurídicos, ya que Nacional no puede contratar jugadores por la demanda que perdió contra Cortuluá por el caso de Fernando Uribe. Además, el cuadro paisa está obligado a pagarle cinco millones de dólares al equipo vallecaucano. Nacional llevó el caso al TAS, donde esperan una respuesta positiva para poder fichar jugadores. Por ahora, Nacional cuenta con cuatro jugadores “nuevos”, que son futbolistas  activos del club, y volvieron de sus préstamos: Nicolás Hernández (Real Santander), Sebastián Gómez (Leones), Bryan Rovira (Atlético Bucaramanga) y Jean Luca Rivera (Real Santander). Del club salieron hasta el momento 10 jugadores: Fernando Monetti (cedido a San Lorenzo por seis meses), Diego Braghieri (cedido a Xolos de Tijuana), Édisson Restrepo (cedido a Unión Magdalena), Raúl Loaiza (cedido a San Lorenzo por un año), Gonzalo Castellani (fin de préstamo), Óscar Franco (recisión de contrato), Mariano Vázquez (prestado al Deportivo Pasto), Gustavo Torres (cedido a San Lorenzo por un año), Reinaldo Lenis (fin de préstamo) y David Castañeda (recisión de contrato). Simón Gómez Córdoba Corresponsal Futbolred Medellín ;deportes
142;Nacional: sonajero de jugadores, tras luz verde del TAS;Fedor, Herrera y Guerra, en los planes del club colombiano.;Atlético Nacional no pierde el tiempo y tras el aval del Tribunal de Arbitramento del Deporte (TAS) para contratar jugadores trabaja sobre el tema, tanto, que ya suenan nombres para reforzar la nómina para el 2019. El primero es el delantero venezolano Nicolás Fedor ‘Miku’, quien en estos momentos figura en la lista del equipo Bengaluru Football Club del fútbol indio y quien en el último mes se recuperó de una lesión muscular. Fedor disputa con su club la Superliga de India y a sus 33 años podría regresar a Latinoamérica, más exactamente a Nacional, que está interesado en sus servicios. Nació el 19 de agosto de 1985 en Caracas, Venezuela, y jugó en Valencia, Getafe, Rayo Vallecano y en Catar. Otro de los que suena para llegar a vestirse de verde es el delantero argentino Emanuel Herrera, quien milita en el Sporting Cristal del Perú. Con ese club alzó la copa del descentralizado de ese país y con 40 goles se coinvirtió en gran figura del equipo. Herrera  nació el 13 de abril de 1987 en Fighiera, provincia de Santa Fe, Argentina, tiene 31 años y se le conoce como ‘tanque’ o ‘torpedo’. Mide 1,86 metros y pesa 80 kilos. Debutó el 16 de mayo del 2009 con Chacarita Junior. Ha jugado, además, en Sportivo Italiano, Patronato, Deportes Concepción, Unión Española, en Chile, Montpellier de Francia, Tigres de México, Emelec de Ecuador, Melgar de Perú, Lobos de México y regresó a territorio inca. Y uno que puede regresar a las toldas de Nacional es el venezolano Alejandro Guerra, quien figura en la lista del Palmeiras de Brasil. Guerra fue artífice del título de la Copa Libertadores del club verde en el 2016, cuando lo digirió Reinaldo Rueda, De 33 años, Guerra salió de Nacional, al que llegó en el 2014, para Palmeiras, club al que llegó en el 2017, gracias al pago de unos 3 millones de dólares. Caso Buonanotte En las últimas horas se especuló sobre la posibilidad de que el argentino Diego Bounanotte estuviera en los planes de Nacional, pero fue desmentido por el propio presidente del equipo, Juan David Pérez. Según el dirigente, en declaraciones a medios de comunicación, Bounanotte fue ofrecido, pero no hay ningún interés de Nacional por contar con sus servicios. Deportes ;deportes
143;Boyacá Chicó se resiste al descenso: venció 2-0 al Huila;El equipo de Neiva quedó eliminado de las finales de la Liga.;"Boyacá Chicó se resiste a perder la categoría luego de derrotar 2-0 al Atlético Huila, ajustó la tercera victoria consecutiva en el Torneo Finalización y de paso cortó con una larga racha de 2 años y ocho meses de no ganar tres partidos al hilo tal y como lo hizo el 6 de febrero de 2014 cuando superó a Millonarios, Cali y Alianza Petrolera. Por ahora la tarea la hace con cifras redondas el cuadro del altiplano y deberá de espera hasta el domingo cuando Deportes Tolima recibe a Deportivo Pasto, para saber si desciende la escuadra dirigida por el uruguayo Nelson Oliveira. Desde el pitido inicial Boyacá Chicó tomó las riendas del juego y a los 40 segundos generó el primer acercamiento con una jugada individual de Mateo Palacios, quien con varios regates merodeó la media luna y enseguida despachó un derechazo al arco de Miguel Solís, que se fue desviado. Salida rápida por los costados con Anderson Peña y Andrés Correa, quienes lograron penetrar a campo contrario con lo que Palacios y Misael Riascos buscaron las diagonales para romper la doble línea de cuatro que puso el rival. Pero esa dinámica, esa velocidad y la presión en la salida le duró 15 minutos cuando se dieron imprecisiones en la entrega y Deimer Ruiz, el encargado de suplir a Juan Mahecha, tuvo que ser relevado por decisión del cuerpo técnico. En esa medida, el cuadro opita de a poco se adueñó y empezó a generar juego hacia la portería del uruguayo Rafael García. Sin embargo, los avances no tuvieron la contundencia en la definición y la insistencia en el juego aéreo para buscar la cabeza de Jorge Ramos, no surtieron demasiados riesgos. Claro está que por esa vía, precisamente, a los 23 minutos llegó el conjunto huilense en que el punta, Ómar Duarte, sacó un centro para el cabezazo de Jorge Ramos, quien superó a los dos centrales y el balón estuvo a centímetros de incrustarse en el ángulo superior izquierdo del golero García. A esa altura del lance, Huila es mucho más que Boyacá Chicó. Logró quitarle el esférico y se hizo denso y fuerte en zona medular y en la retaguardia, lo que dificultó que el onceno ajedrezado volviera con peligro sobre el arco de Miguel Solís. En el 37 se dio la apertura del marcador con un cabezazo de Riascos, quien le puso el parietal izquierdo a un balón de pelota quieta que ejecutó Palacios y que sobró a los zagueros huilenses En la etapa de complemento el orientador Virgilio Puerto mandó al campo a Carlos Robles y Jerry Ortiz por los centrocampistas Emiliano Méndez y Hamilton Valencia con el ánimo de tener manejo en el mediocampo y de oxigenar ese sector de la cancha. El plantel del altiplano logró el primer sobresaltó ofensivo con un toque de primera intención en el que participan Riascos, Palacios y Juan Díaz, quien sacó un zurdazo que se fue arriba del travesaño. Huila arreció por momentos en el frente de ataque, pero no fue claro en la puntada decisiva. A los 18 ST se dio un remate de media distancia de Jerry Ortiz y atento el meta García, quien lució atento para evacuar la pelota. Dos minutos después el propio Ortiz es sustituido por Roque Caballero, un atacante neto y sacrificó a un volante que escasamente estuvo 20 minutos en la cancha y siendo el único que llegó con un disparo que estuvo cerca de inflar la red. Por su parte, en el plantel boyacense ingresó Enrique Soto y se encontró la forma de retomar el control de las acciones, a la vez que Palacios, por fin, tuvo un socio para tocar en corto y hacer los cambios de ritmo. A los 28 es Palacios quien se la inventó toda. Ingresó por zona izquierda y con un desborde dejó a tres jugadores en el camino e impactó un zurdazo que fue a estrellarse a la malla exterior del palo derecho. Huila en la segunda aproximación estuvo cerca del empate en un cobro de tiro libre y el marcador central John Lozano que no acertó en la puntada final. La tranquilidad para los de casa se dio al 32 ST con la anotación de Palacios, sin duda la figura del partido. Sensacional jugada del juvenil creativo quien les quebró la cintura a dos defensores opitas y con un derechazo mandó el balón a dormir al ángulo superior derecho. ¡Golazo!, por donde se le mire. Dos minutos después, el volante de segunda línea Déiner Córdoba llegó a posición de gol, pero lamentablemente la descarga terminó por golpear en el rostro a Solís y con eso ahogó el grito de lo que pudo ser el tercer tanto. Boyacá Chicó: Rafael García (6); Anderson Peña (6), Yair Ibarguen (6), Alí Manouchehri (6), Andrés Correa (6); Deiner Córdoba (6), Óscar Balanta (6), Deimer Ruiz (4), Juan Díaz (6), Mateo Palacios (8); Misael Riascos (7). DT: Nelson Olveira. Huila: Miguel Solís (5); Manuel Berrío (5), Jhon Lozano (6), Davinson Monsalve (6), Stiven Quiñones (5); Paul Rubiano (6), Emiliano Méndez (5), Hamilton Valencia (5), Mateo Fígoli (5); Ómar Duarte (4) y Jorge Ramos (4). DT: Virgilio Puerto. Partido: regular. Cambios en Boyacá Chicó: José Quiñones (6) por Ruiz (36 PT), Enrique Soto por Peña (24 ST) y José Díaz por Juan Díaz (37 ST). Cambios en Huila: Carlos Robles (5) por Méndez (1 ST), Jerry Ortiz por Valencia (1 ST) y Roque Caballero por Ortiz (20 ST). Goles de Boyacá Chicó: Misael Riascos (37 PT) y Mateo Palacios (32 ST). Amonestados en Boyacá Chicó: Andrés Correa (42 PT) y Deiner Córdoba (44 PT). Amonestados en Huila: Ómar Duarte (31 PT), Emiliano Méndez (42 PT), Mateo Fígoli (45 PT), Stiven Quiñonez (23 ST), Jorge Ramos (24 ST) y Roque Caballero (34 ST). Figura: Mateo Palacios (8). Estadio: La Independencia. Asistencia: 600 espectadores aproximadamente. Taquilla: no suministrada. Árbitro: Julián Mejía (5). Ulises Ortega Acuña ";deportes
144;Bucaramanga respira en la Liga, derrotó 3-0 a Alianza Petrolera;"Cárdenas, figura del encuentro; tras un tiro libre por debajo de la barrera marcó el tercer gol.";Atlético Bucaramanga y Alianza petrolera saltaron al terreno de juego con la intención de disputar un compromiso catalogado como clásico regional. El equipo leopardo, con nuevo cuerpo técnico y el conjunto petrolero con la imperiosa necesidad de los tres puntos, para dejar la última posición de la tabla del descenso. Los primeros minutos del partido permitieron observar la iniciativa de juego para Atlético Bucaramanga, que con la apertura de la cancha y los remates de media distancia generó dos opciones de gol que no pudo concretar. Alianza petrolera, ordenado en defensa y algo tímido en ataque. Alianza Petrolera, con el paso de los minutos adelantó un poco las líneas, generando mayor volumen ofensivo y pisando el área adversaria, fase ofensiva, que le permitió generar una opción de gol que no pudo concretar. El conjunto leopardo que perdió la tenencia de balón se replegó por instantes con doble línea de cuatro. Sobre el minuto 35 del primer tiempo es Atlético Bucaramanga el que abre el marcador con remate de media distancia de Jhon Pérez, quien sobre el palo de la mano derecha decretó el uno por cero a favor del equipo leopardo. Así pues, terminaría el primer tiempo con la victoria parcial uno por cero a favor de Atlético Bucaramanga que propuso más en el partido, mientras que Alianza petrolera, escaso en presencia ofensiva, esperó a su rival y fue impreciso en el medio campo. Para la segunda mitad, Alianza Petrolera fue el de la iniciativa en los primeros minutos, con una propuesta ofensiva intentó anotar sobre la portería leoparda, sin encontrar el camino a gol. Bucaramanga, apelando a las transiciones rápidas entre defensa y ataque generó un par de aproximaciones sobre el arco aurinegro. Sobre el minuto 24 del segundo tiempo, Atlético Bucaramanga logra anotar el segundo gol, a través del recién ingresado Sergio Romero, quien definió por encima de la humanidad del portero Jerez que se quedó sin opción, de esta manera, el conjunto leopardo decretaba el dos por cero en el marcador. En el minuto 32 de la segunda parte, Sherman Cárdenas en cobro de tiro libre por debajo de la barrera y sobre el palo de la mano derecha de Jerez, anota el tres por cero para Atlético Bucaramanga, en lo que sería goleada a favor del equipo leopardo. Culminaría el partido con la contundente victoria tres por cero para Atlético Bucaramanga que anó gustó y goleó en el debut del técnico Carlos Giraldo. De otra parte Alianza petrolera sumido en el sótano del descenso, perdió el clásico regional. Atlético Bucaramanga: James Aguirre (6), Harold Gómez (6), Camilo Mancilla (6), Jeisson Quiñones (6), Marvin Vallecilla (6), Gabriel Gómez (6), Cesar Quintero (5), Johan Caballero (5), Jhon Pérez (7), Sherman Cárdenas (7) y Roque Caballero (4). DT: Carlos Giraldo. Alianza Petrolera: Ricardo Jerez (5), Yhormar Hurtado (5), Luciano Ospina (5), Jeisson Palacios (5), Farid Díaz (4), Juan Ríos (5), Harrison Henao (5), Yéiner Orozco (4), Estefano Arango (4), Jhon Vásquez (5) y José Correa (5). DT: Cesar Torres. Partido: Bueno. Goles Atlético Bucaramanga: Pérez (35 PT), Romero (24 ST) y Cárdenas (32 ST). Goles Alianza: No hubo. Cambios Atlético Bucaramanga: Rafael Robayo por Quintero (18 ST), Sergio Romero por Caballero Roque (23 ST) y Roger Lemus por Cárdenas (36 ST). Cambios Alianza: Ronaldo Ariza (5) por Orozco (1 ST), Edwin Torres por Correa (18 ST) y Cesar Arias por Vásquez (31 ST). Expulsados Atlético Bucaramanga: No hubo. Expulsados Alianza: No hubo. Amonestados Atlético Bucaramanga: Quiñones (22 PT), Gómez (11 ST), Caballero Roque (17 ST), Vallecilla (33 ST) y Pérez (35 ST). Amonestados Alianza: Díaz (10 PT), Ospina (26 PT), Palacios (24 ST) y Henao (30 ST). Detalle: Tres jugadores santandereanos anotaron gol, Pérez, Romero Cárdenas. Figura: Sherman Cárdenas Atlético Bucaramanga (7). Estadio: Alfonso López. Asistencia: 3.000 Espectadores aproximadamente. Taquilla: No suministrada. Árbitro: Carlos Betancur Gutiérrez (7). JULIÁN CARREÑO. Para EL TIEMPO Bucaramanga. ;deportes
145;Bucaramanga, en buen compromiso, igualó 0-0 con el líder Nacional;El equipo antioqueño, líder de la Liga, llegó a 20 puntos, mientras que el local no levanta cabeza.;Atlético Bucaramanga y Nacional saltaron al gramado del estadio Alfonso López en medio de una fiesta multicolor, en la que se destacaban las camisetas amarillas que engalanaron de color oro las tribunas del escenario deportivo. El equipo leopardo llegaba con la imperiosa necesidad de una victoria mientras que el verdolaga exponía su liderato en condición de visitante. Tras el sonido del silbato del juez central del compromiso rodó el balón para un partido que en los primeros minutos evidenció para Bucaramanga que con tenencia de balón y presión en campo adversario generó volumen ofensivo, mientras que Nacional apelando a las transiciones rápidas inquietó en dos oportunidades la portería local. Sobre el meridiano de la primera parte, el conjunto antioqueño, con un poco más de tenencia de balón, intentó en la apertura de la cancha por los costados llegar sobre la portería de Ojeda, encontrándose con el orden defensivo expuesto por el onceno leopardo. Terminaría el primer tiempo con el empate a cero goles, en un partido que se disputó en gran parte en la media cancha, con pocas opciones claras de gol, pero con bastante orden táctico por parte de los dos oncenos. Para el segundo tiempo Nacional mantuvo la tenencia de balón en los primeros minutos, pero sin encontrar espacios en el último cuarto de cancha, Bucaramanga un poco más cauteloso cedió terreno pero apeló al contragolpe como estrategia ofensiva. Sobre el minuto 21 de la segunda mitad el local tendría la opción más clara de gol, cuando Jhon Pérez estrelló un balón sobre el horizontal de la portería de Monetti, desperdiciando la posibilidad de abrir el marcador. Por su parte, el conjunto verdolaga con el ingreso de Ramírez intentó recuperar la tenencia de balón que perdió frente a un  Bucaramanga que con mayor presencia en el último cuarto de cancha dominó a su rival pero sin lograr convertir. Terminaría el compromiso con el empate 0-0, entre dos oncenos que le apostaron a lo táctico, en el Bucaramanga fue más incisivo en la segunda parte, pero encontró a un ordenado rival que administró el resultado sumando un punto en condición de visitante para llegar a 20 puntos en la punta de la tabla. Síntesis: Atlético Bucaramanga 0 – Nacional 0 Bucaramanga Luis Ojeda (6), Harold Gómez (6), Marlon Torres (6), Martín González (6), Fabio Rodríguez (6), Brayan Rovira (6), Víctor Castillo (6), Juan Jiménez (6), Jhon Pérez (5), Sherman Cárdenas (7) y Franco Arizala (5). DT: Diego Cagna. Nacional Fernando Monetti (6), Helibelton Palacios (6), Felipe Aguilar (6), Diego Braghieri  (6), Christian Mafla (6), Gonzalo Castellani (6), Jorman Campuzano (6), Macnelly Torres (5), Bladimir Hernández (5), Reinaldo Lenis (6) y Andrés Rentería (6). DT: Jorge Almirón. Partido: Bueno. Goles Atlético Bucaramanga: No hubo. Goles Nacional: No hubo. Cambios Atlético Bucaramanga: Michael Rangel (5) por Arizala (15 ST) y Yilmar Filigrana por Jiménez (33 ST). Cambios: Nacional: Aldo Ramírez  por Torres (23 ST),  Jeison Lucumí por Lenis (36 ST) y  Raul Loaiza por Castellani (41 ST). Expulsados Atlético Bucaramanga: No hubo. Expulsados Nacional: No hubo. Amonestados Atlético Bucaramanga: Rodríguez (43 PT) y Gómez (27 ST). Amonestados Nacional: Castellani (21 PT),  Braghieri (9 ST) y Rentería (18 ST). Detalle: Atlético Bucaramanga registró la mayor asistencia desde su retorno al remodelado estadio Alfonso López. Figura: Sherman Cárdenas Atlético Bucaramanga (7). Estadio: Alfonso López. Asistencia: 23.000 Espectadores aproximadamente. Taquilla: No suministrada. Árbitro: Jhon Hinestroza (7) Por: JULIÁN CARREÑO EL TIEMPO Bucaramanga ;deportes
146;Impresionante recibimiento al Once Caldas para la final de la Copa;El bus del equipo ingresó hasta la pista atlética del estadio para el ingreso de sus jugadores.;Ya está prendido el ambiente en Manizales para la final de ida de la Copa Colombia entre Once Caldas y Atlético Nacional. Este miércoles los dos equipos se enfrentarán en los primeros 90 minutos de este duelo definitivo. Por ello, en el equipo local quisieron realizar algo especial y las cámaras de la transmisión oficil registraron cómo el bus del Once Caldas ingresó hasta la pista atlética del estadio para que los jugadores allí descendieran y recibieran el calor del público. El partido entre los dos clubes iniciará a las 7 p. m. y tendrá transmisión de RCN y Win Sports. DEPORTES ;deportes
147;Siga aquí la cadena de oración de los jugadores de la Selección;A la convocatoria de Teófilo Gutiérrez se unieron otros históricos y algunos artistas.;"Teófilo Gutiérrez , el delantero del Junior y de Colombia, subió una invitación en las redes sociales para que sus seguidores se ""pongan la camiseta para ganar este partido"". Teo quiso ""hacer un clamor por Colombia"", para que el país unido ""ore por la gente necesitada"". Puede seguir la cadena de oración en este link. La iniciativa nace debido a la difícil situación que se vive por la pandemia del nuevo coronavirus. (Le puede interesar: Conmebol decidió cómo se jugará la eliminatoria suramericana) A la invitación de Teo se unieron otros históricos de la Selección, entre ellos el máximo artillero de Colombia en la historia, Radamel Falcao García . También se unirán a la convocatoria de Teo figuras como Juan Guillermo Cuadrado, Carlos Bacca, Mario Yepes, Camilo Zúñiga, Duván Zapata y Miguel Ángel Borja , así como personalidades como el alcalde de Barranquilla, Jaime Pumarejo. DEPORTES ";deportes
